user,item,label,alpha_user,alpha_item,user_deg,item_deg,user_deg_decile,item_deg_decile,pair_id,alpha_user_z,alpha_item_z,alpha_fused
12761,13623,Positive,0.0,0.0,24.0,42.0,0,5,0,-0.47196306717492686,-0.33638976670099674,-0.4041764169379618
12761,33727,Matched Negative,0.0,0.0,24.0,36.0,0,5,0,-0.47196306717492686,-0.33638976670099674,-0.4041764169379618
6029,6617,Positive,0.05454545468091965,0.0,18.0,30.0,0,3,1,1.3535448302072668,-0.33638976670099674,0.508577531753135
6029,12265,Matched Negative,0.0,0.0,18.0,28.0,0,3,1,-0.47196306717492686,-0.33638976670099674,-0.4041764169379618
16340,16779,Positive,0.0,0.0,30.0,233.0,0,9,2,-0.47196306717492686,-0.33638976670099674,-0.4041764169379618
16340,292,Matched Negative,0.0,0.0,30.0,914.0,0,9,2,-0.47196306717492686,-0.33638976670099674,-0.4041764169379618
45394,37502,Positive,0.0535714291036129,0.0,21.0,24.0,0,2,3,1.3209464882550874,-0.33638976670099674,0.49227836077704534
45394,32170,Matched Negative,0.0,0.0,21.0,25.0,0,2,3,-0.47196306717492686,-0.33638976670099674,-0.4041764169379618
27091,40098,Positive,0.0,0.0,31.0,30.0,0,3,4,-0.47196306717492686,-0.33638976670099674,-0.4041764169379618
27091,21147,Matched Negative,0.0,0.0,31.0,30.0,0,3,4,-0.47196306717492686,-0.33638976670099674,-0.4041764169379618
2276,32905,Positive,0.0,0.0,33.0,37.0,0,5,5,-0.47196306717492686,-0.33638976670099674,-0.4041764169379618
2276,20286,Matched Negative,0.0,0.0,33.0,39.0,0,5,5,-0.47196306717492686,-0.33638976670099674,-0.4041764169379618
17260,10353,Positive,0.0,0.0,18.0,44.0,0,6,6,-0.47196306717492686,-0.33638976670099674,-0.4041764169379618
17260,3860,Matched Negative,0.0,0.0,18.0,44.0,0,6,6,-0.47196306717492686,-0.33638976670099674,-0.4041764169379618
4611,24794,Positive,0.0,0.0,30.0,144.0,0,9,7,-0.47196306717492686,-0.33638976670099674,-0.4041764169379618
4611,4974,Matched Negative,0.0,0.0,30.0,216.0,0,9,7,-0.47196306717492686,-0.33638976670099674,-0.4041764169379618
11108,10796,Positive,0.05263157933950424,0.0,32.0,14.0,0,0,8,1.2894919302764314,-0.33638976670099674,0.4765510817877173
11108,36760,Matched Negative,0.0,0.0,32.0,9.0,0,0,8,-0.47196306717492686,-0.33638976670099674,-0.4041764169379618
8188,3898,Positive,0.04518072307109833,0.0,31.0,119.0,0,9,9,1.0401293199580954,-0.33638976670099674,0.35186977662854935
8188,4722,Matched Negative,0.0,0.0,31.0,114.0,0,9,9,-0.47196306717492686,-0.33638976670099674,-0.4041764169379618
37189,36582,Positive,0.0,0.0,30.0,23.0,0,2,10,-0.47196306717492686,-0.33638976670099674,-0.4041764169379618
37189,36933,Matched Negative,0.0,0.0,30.0,23.0,0,2,10,-0.47196306717492686,-0.33638976670099674,-0.4041764169379618
15942,9083,Positive,0.0,0.0,31.0,149.0,0,9,11,-0.47196306717492686,-0.33638976670099674,-0.4041764169379618
15942,14277,Matched Negative,0.0,0.0,31.0,111.0,0,9,11,-0.47196306717492686,-0.33638976670099674,-0.4041764169379618
35812,35815,Positive,0.0,0.0,32.0,22.0,0,1,12,-0.47196306717492686,-0.33638976670099674,-0.4041764169379618
35812,34657,Matched Negative,0.0,0.0,32.0,22.0,0,1,12,-0.47196306717492686,-0.33638976670099674,-0.4041764169379618
