user,item,label,alpha_user,alpha_item,user_deg,item_deg,user_deg_decile,item_deg_decile,pair_id
12761,13623,Positive,0.0,0.0,24.0,42.0,0,5,0
12761,33727,Matched Negative,0.0,0.0,24.0,36.0,0,5,0
6029,6617,Positive,0.05454545468091965,0.0,18.0,30.0,0,3,1
6029,12265,Matched Negative,0.0,0.0,18.0,28.0,0,3,1
16340,16779,Positive,0.0,0.0,30.0,233.0,0,9,2
16340,292,Matched Negative,0.0,0.0,30.0,914.0,0,9,2
45394,37502,Positive,0.0535714291036129,0.0,21.0,24.0,0,2,3
45394,32170,Matched Negative,0.0,0.0,21.0,25.0,0,2,3
27091,40098,Positive,0.0,0.0,31.0,30.0,0,3,4
27091,21147,Matched Negative,0.0,0.0,31.0,30.0,0,3,4
2276,32905,Positive,0.0,0.0,33.0,37.0,0,5,5
2276,20286,Matched Negative,0.0,0.0,33.0,39.0,0,5,5
17260,10353,Positive,0.0,0.0,18.0,44.0,0,6,6
17260,3860,Matched Negative,0.0,0.0,18.0,44.0,0,6,6
4611,24794,Positive,0.0,0.0,30.0,144.0,0,9,7
4611,4974,Matched Negative,0.0,0.0,30.0,216.0,0,9,7
11108,10796,Positive,0.05263157933950424,0.0,32.0,14.0,0,0,8
11108,36760,Matched Negative,0.0,0.0,32.0,9.0,0,0,8
8188,3898,Positive,0.04518072307109833,0.0,31.0,119.0,0,9,9
8188,4722,Matched Negative,0.0,0.0,31.0,114.0,0,9,9
37189,36582,Positive,0.0,0.0,30.0,23.0,0,2,10
37189,36933,Matched Negative,0.0,0.0,30.0,23.0,0,2,10
15942,9083,Positive,0.0,0.0,31.0,149.0,0,9,11
15942,14277,Matched Negative,0.0,0.0,31.0,111.0,0,9,11
35812,35815,Positive,0.0,0.0,32.0,22.0,0,1,12
35812,34657,Matched Negative,0.0,0.0,32.0,22.0,0,1,12
38750,36724,Positive,0.0,0.0,32.0,27.0,0,3,13
38750,38065,Matched Negative,0.0,0.0,32.0,29.0,0,3,13
16223,40072,Positive,0.095238097012043,0.0,16.0,13.0,0,0,14
16223,38306,Matched Negative,0.0,0.0,16.0,16.0,0,0,14
40140,25801,Positive,0.0,0.0,29.0,79.0,0,8,15
40140,4715,Matched Negative,0.0,0.0,29.0,75.0,0,8,15
38456,19505,Positive,0.0,0.0,27.0,54.0,0,7,16
38456,29120,Matched Negative,0.0,0.0,27.0,57.0,0,7,16
3583,3600,Positive,0.0,0.0,26.0,28.0,0,3,17
3583,30440,Matched Negative,0.0,0.0,26.0,27.0,0,3,17
234,9394,Positive,0.0,0.0,22.0,54.0,0,7,18
234,3672,Matched Negative,0.0,0.0,22.0,60.0,0,7,18
4155,37459,Positive,0.0,0.0,33.0,40.0,0,5,19
4155,13433,Matched Negative,0.0,0.0,33.0,39.0,0,5,19
2652,3478,Positive,0.06437768042087555,0.0,33.0,175.0,0,9,20
2652,1912,Matched Negative,0.0,0.0,33.0,159.0,0,9,20
40779,7441,Positive,0.0,0.0,29.0,110.0,0,9,21
40779,23812,Matched Negative,0.0,0.0,29.0,116.0,0,9,21
4722,5998,Positive,0.0,0.0,25.0,247.0,0,9,22
4722,12536,Matched Negative,0.0,0.0,25.0,122.0,0,9,22
36766,37032,Positive,0.11083681881427765,0.13572806119918823,30.0,35.0,0,4,23
36766,37265,Matched Negative,0.0,0.0,30.0,34.0,0,4,23
21308,24540,Positive,0.0,0.0,31.0,69.0,0,7,24
21308,10127,Matched Negative,0.0,0.0,31.0,65.0,0,7,24
47242,32022,Positive,0.0,0.0,32.0,78.0,0,8,25
47242,16844,Matched Negative,0.0,0.0,32.0,79.0,0,8,25
11516,17308,Positive,0.1066666692495346,0.04615384712815285,31.0,69.0,0,7,26
11516,20060,Matched Negative,0.0,0.0,31.0,67.0,0,7,26
22868,12612,Positive,0.0,0.0,32.0,89.0,0,8,27
22868,20658,Matched Negative,0.0,0.0,32.0,76.0,0,8,27
43064,7250,Positive,0.0,0.0,29.0,685.0,0,9,28
